NroC,Temperatura[K],Presion[MPa],Densidad[g/cm3],Densidad[kg/m3],PaperID
4,323,68.39,0.6295,629.5,P6
4,323,68.37,0.6295,629.5,P6
4,323,61.42,0.6244,624.4,P6
4,323,52.27,0.6162,616.2,P6
4,323,43.59,0.6077,607.7,P6
4,323,37.21,0.6014,601.4,P6
4,323,34.56,0.5984,598.4,P6
4,323,34.54,0.5984,598.4,P6
4,323,34.25,0.5974,597.4,P6
4,323,31.92,0.5951,595.1,P6
4,323,29.76,0.5927,592.7,P6
4,323,26.85,0.5888,588.8,P6
4,323,21.98,0.5819,581.9,P6
4,323,18.03,0.5759,575.9,P6
4,323,13.31,0.5674,567.4,P6
4,348,69.17,0.6145,614.5,P6
4,348,68.5,0.6143,614.3,P6
4,348,65.59,0.6111,611.1,P6
4,348,62.06,0.6078,607.8,P6
4,348,62.02,0.6074,607.4,P6
4,348,58.53,0.6039,603.9,P6
4,348,55.1,0.6005,600.5,P6
4,348,55.09,0.6005,600.5,P6
4,348,51.81,0.5971,597.1,P6
4,348,48.39,0.5933,593.3,P6
4,348,48.37,0.5933,593.3,P6
4,348,44.67,0.5891,589.1,P6
4,348,41.35,0.5852,585.2,P6
4,348,34.77,0.5767,576.7,P6
4,348,34.75,0.5767,576.7,P6
4,348,28.11,0.5674,567.4,P6
4,348,21.19,0.5564,556.4,P6
4,348,13.86,0.5419,541.9,P6
4,373,69.12,0.5972,597.2,P6
4,373,66.94,0.5949,594.9,P6
4,373,63.75,0.5917,591.7,P6
4,373,62.08,0.5898,589.8,P6
4,373,58.51,0.5864,586.4,P6
4,373,55.16,0.5825,582.5,P6
4,373,48.38,0.5743,574.3,P6
4,373,48.34,0.5743,574.3,P6
4,373,41.46,0.5658,565.8,P6
4,373,34.58,0.5557,555.7,P6
4,373,34.38,0.5557,555.7,P6
4,373,27.63,0.5443,544.3,P6
4,373,27.58,0.5443,544.3,P6
4,373,21.21,0.5321,532.1,P6
4,373,21.12,0.5321,532.1,P6
4,373,17.16,0.5228,522.8,P6
4,373,15.17,0.5178,517.8,P6
4,398,68.92,0.5781,578.1,P6
4,398,68.89,0.5786,578.6,P6
4,398,65.19,0.5744,574.4,P6
4,398,62.22,0.5718,571.8,P6
4,398,58.63,0.567,567,P6
4,398,48.14,0.5554,555.4,P6
4,398,45.54,0.549,549,P6
4,398,41.37,0.5456,545.6,P6
4,398,34.46,0.5339,533.9,P6
4,398,34.45,0.5339,533.9,P6
4,398,27.62,0.5222,522.2,P6
4,398,22.26,0.5096,509.6,P6
4,398,22.21,0.51,510,P6
4,398,18.39,0.4988,498.8,P6
4,398,17.54,0.4959,495.9,P6
4,413,69.01,0.5717,571.7,P6
4,413,69,0.5717,571.7,P6
4,413,62.33,0.5646,564.6,P6
4,413,55.15,0.5556,555.6,P6
4,413,55.13,0.5556,555.6,P6
4,413,48.43,0.5459,545.9,P6
4,413,41.55,0.535,535,P6
4,413,34.46,0.5229,522.9,P6
4,413,27.62,0.5094,509.4,P6
4,413,21.67,0.4938,493.8,P6
4,413,16.93,0.4781,478.1,P6
4,413,14.19,0.4675,467.5,P6
4,428,69.14,0.5624,562.4,P6
4,428,63.82,0.5564,556.4,P6
4,428,58.6,0.5492,549.2,P6
4,428,53.78,0.5436,543.6,P6
4,428,48.57,0.5356,535.6,P6
4,428,43.33,0.5275,527.5,P6
4,428,37.94,0.5192,519.2,P6
4,428,32.31,0.5081,508.1,P6
4,428,27.32,0.4951,495.1,P6
4,428,21.28,0.4783,478.3,P6
4,443,69.06,0.554,554,P6
4,443,68.96,0.554,554,P6
4,443,62.1,0.5465,546.5,P6
4,443,61.91,0.545,545,P6
4,443,55.05,0.5366,536.6,P6
4,443,48.26,0.5266,526.6,P6
4,443,48.23,0.5266,526.6,P6
4,443,41.27,0.5141,514.1,P6
4,443,34.64,0.5019,501.9,P6
4,443,27.71,0.4835,483.5,P6
4,443,27.7,0.4842,484.2,P6
4,443,20.82,0.4621,462.1,P6
4,443,20.77,0.4621,462.1,P6
5,293.211,8.003,0.63489,634.89,P7
5,293.211,2,0.62805,628.05,P7
5,293.213,30,0.65538,655.38,P7
5,293.213,6,0.63263,632.63,P7
5,293.214,13.008,0.64002,640.02,P7
5,293.214,3.998,0.63031,630.31,P7
5,293.217,28.002,0.65372,653.72,P7
5,293.217,10.008,0.63691,636.91,P7
5,293.218,22.01,0.64859,648.59,P7
5,293.219,25.002,0.65119,651.19,P7
5,293.219,19.009,0.64581,645.81,P7
5,293.22,16.007,0.643,643,P7
5,313.1,19.002,0.62928,629.28,P7
5,313.102,30.005,0.64009,640.09,P7
5,313.102,28.002,0.6382,638.2,P7
5,313.102,25.004,0.6354,635.4,P7
5,313.102,22.002,0.63238,632.38,P7
5,313.102,6.001,0.61399,613.99,P7
5,313.103,16.005,0.62603,626.03,P7
5,313.103,2.005,0.60849,608.49,P7
5,313.104,13.001,0.62265,622.65,P7
5,313.104,10.005,0.61909,619.09,P7
5,313.104,7.999,0.61658,616.58,P7
5,313.105,4.002,0.61131,611.31,P7
5,318,69.25,0.6649,664.9,P6
5,318,65.55,0.6623,662.3,P6
5,318,55.37,0.6544,654.4,P6
5,318,55.33,0.6544,654.4,P6
5,318,44.88,0.6459,645.9,P6
5,318,34.61,0.6366,636.6,P6
5,318,34.53,0.6366,636.6,P6
5,318,27.71,0.6292,629.2,P6
5,318,27.63,0.6294,629.4,P6
5,318,20.92,0.622,622,P6
5,318,14.28,0.6154,615.4,P6
5,318,7.51,0.6066,606.6,P6
5,318,7.5,0.6066,606.6,P6
5,323,69.76,0.662,662,P6
5,323,69.74,0.662,662,P6
5,323,63.05,0.6564,656.4,P6
5,323,62.3,0.6558,655.8,P6
5,323,55.33,0.6504,650.4,P6
5,323,55.31,0.6504,650.4,P6
5,323,44.94,0.6417,641.7,P6
5,323,44.9,0.6417,641.7,P6
5,323,34.5,0.6328,632.8,P6
5,323,27.68,0.6257,625.7,P6
5,323,20.78,0.6178,617.8,P6
5,323,15.46,0.6113,611.3,P6
5,323,10.22,0.6041,604.1,P6
5,323.15,20,0.62206,622.06,P25
5,323.15,19.99,0.62353,623.53,P25
5,323.15,10,0.61019,610.19,P25
5,323.15,9.98,0.61069,610.69,P25
5,325.85,275.5,0.75,750,P3
5,325.85,239.5,0.739,739,P3
5,325.85,206.2,0.727,727,P3
5,325.85,171,0.714,714,P3
5,325.85,137.8,0.7,700,P3
5,325.85,110.2,0.686,686,P3
5,325.85,84.1,0.672,672,P3
5,325.85,70.9,0.664,664,P3
5,325.85,55.3,0.653,653,P3
5,325.85,43.3,0.643,643,P3
5,325.85,28.9,0.63,630,P3
5,325.85,13.8,0.613,613,P3
5,325.85,7,0.603,603,P3
5,325.85,3.6,0.598,598,P3
5,325.85,1.8,0.595,595,P3
5,333.006,3.997,0.5914,591.4,P7
5,333.007,21.997,0.6161,616.1,P7
5,333.007,6.002,0.59459,594.59,P7
5,333.007,2.009,0.58787,587.87,P7
5,333.008,19,0.6125,612.5,P7
5,333.009,30.006,0.62471,624.71,P7
5,333.01,27.997,0.62268,622.68,P7
5,333.01,25,0.61939,619.39,P7
5,333.01,8.008,0.59769,597.69,P7
5,333.011,15.996,0.60878,608.78,P7
5,333.011,12.998,0.60482,604.82,P7
5,333.012,10.001,0.60061,600.61,P7
5,348,70.26,0.6445,644.5,P6
5,348,69.88,0.6451,645.1,P6
5,348,69.45,0.644,644,P6
5,348,63.17,0.6395,639.5,P6
5,348,62.94,0.6387,638.7,P6
5,348,55.49,0.6327,632.7,P6
5,348,55.18,0.632,632,P6
5,348,45.81,0.6232,623.2,P6
5,348,45.1,0.6229,622.9,P6
5,348,36.48,0.6135,613.5,P6
5,348,34.95,0.6121,612.1,P6
5,348,28.47,0.6041,604.1,P6
5,348,28.38,0.6041,604.1,P6
5,348,27.83,0.6038,603.8,P6
5,348,21.01,0.5944,594.4,P6
5,348,20.87,0.5944,594.4,P6
5,348,20.83,0.5945,594.5,P6
5,348,20.81,0.5944,594.4,P6
5,348,20.79,0.5946,594.6,P6
5,348,16.56,0.5885,588.5,P6
5,348,16.54,0.5885,588.5,P6
5,348,15.91,0.5875,587.5,P6
5,348,15.68,0.5868,586.8,P6
5,348,15.56,0.587,587,P6
5,348,12.83,0.5831,583.1,P6
5,348,12.81,0.5831,583.1,P6
5,348,10.88,0.5797,579.7,P6
5,348,10.64,0.5795,579.5,P6
5,348,10.56,0.5795,579.5,P6
5,348,10.51,0.5795,579.5,P6
5,353.12,3.997,0.57001,570.01,P7
5,353.121,2.006,0.56577,565.77,P7
5,353.122,30.001,0.6091,609.1,P7
5,353.122,18.997,0.59521,595.21,P7
5,353.122,8.003,0.57779,577.79,P7
5,353.122,6.002,0.57402,574.02,P7
5,353.123,16.001,0.5909,590.9,P7
5,353.123,10.008,0.58128,581.28,P7
5,353.124,28.005,0.60677,606.77,P7
5,353.124,13,0.58631,586.31,P7
5,353.125,25.002,0.6031,603.1,P7
5,353.126,22,0.59929,599.29,P7
5,373,69.98,0.628,628,P6
5,373,63.32,0.6222,622.2,P6
5,373,63.28,0.6222,622.2,P6
5,373,55.2,0.6146,614.6,P6
5,373,46.39,0.6063,606.3,P6
5,373,45.63,0.6055,605.5,P6
5,373,38.09,0.5973,597.3,P6
5,373,36.48,0.5953,595.3,P6
5,373,36.43,0.5953,595.3,P6
5,373,28.25,0.5838,583.8,P6
5,373,28.24,0.5836,583.6,P6
5,373,20.87,0.5727,572.7,P6
5,373,20.85,0.573,573,P6
5,373,15.84,0.5645,564.5,P6
5,373,12.26,0.5574,557.4,P6
5,398,69.9,0.6119,611.9,P6
5,398,69.88,0.6119,611.9,P6
5,398,69.14,0.6105,610.5,P6
5,398,69.03,0.6112,611.2,P6
5,398,65.41,0.6078,607.8,P6
5,398,65.37,0.6078,607.8,P6
5,398,63.13,0.6057,605.7,P6
5,398,62.59,0.604,604,P6
5,398,61.57,0.6039,603.9,P6
5,398,58.36,0.601,601,P6
5,398,55.94,0.5984,598.4,P6
5,398,55.93,0.5984,598.4,P6
5,398,55.44,0.5966,596.6,P6
5,398,55.25,0.5963,596.3,P6
5,398,54.91,0.5969,596.9,P6
5,398,54.84,0.5972,597.2,P6
5,398,51.79,0.5936,593.6,P6
5,398,51.77,0.5942,594.2,P6
5,398,48.74,0.5908,590.8,P6
5,398,48.71,0.5908,590.8,P6
5,398,48.48,0.5904,590.4,P6
5,398,45.24,0.5857,585.7,P6
5,398,45.08,0.5886,588.6,P6
5,398,42.01,0.5826,582.6,P6
5,398,41.98,0.5826,582.6,P6
5,398,39.65,0.5819,581.9,P6
5,398,39.03,0.5773,577.3,P6
5,398,38.01,0.5776,577.6,P6
5,398,34.86,0.5754,575.4,P6
5,398,34.62,0.5731,573.1,P6
5,398,29.97,0.5626,562.6,P6
5,398,27.91,0.5641,564.1,P6
5,398,24.47,0.5595,559.5,P6
5,398,21.06,0.5506,550.6,P6
5,398,21.05,0.5506,550.6,P6
5,398,21.04,0.5534,553.4,P6
5,398,17.08,0.5447,544.7,P6
5,398,14.42,0.5367,536.7,P6
5,398,10.85,0.5274,527.4,P6
5,413,68.59,0.6023,602.3,P6
5,413,68.58,0.5954,595.4,P6
5,413,61.86,0.5954,595.4,P6
5,413,54.54,0.5878,587.8,P6
5,413,44.86,0.5767,576.7,P6
5,413,35.9,0.5637,563.7,P6
5,413,27.66,0.5506,550.6,P6
5,413,20.5,0.5356,535.6,P6
5,413,14.14,0.5204,520.4,P6
5,413,11.12,0.5125,512.5,P6
5,423.05,276.6,0.712,712,P3
5,423.05,241,0.702,702,P3
5,423.05,209.4,0.692,692,P3
5,423.05,171.9,0.676,676,P3
5,423.05,137,0.658,658,P3
5,423.05,112.8,0.645,645,P3
5,423.05,85.5,0.621,621,P3
5,423.05,56.8,0.592,592,P3
5,423.05,43.7,0.57,570,P3
5,423.05,28.6,0.553,553,P3
5,428,68.44,0.5936,593.6,P6
5,428,61.11,0.5864,586.4,P6
5,428,54.11,0.5782,578.2,P6
5,428,44.83,0.5664,566.4,P6
5,428,35.77,0.5535,553.5,P6
5,428,27.6,0.5387,538.7,P6
5,428,20.66,0.5236,523.6,P6
5,428,14.24,0.5065,506.5,P6
5,443,69.02,0.5927,592.7,P6
5,443,62.07,0.5848,584.8,P6
5,443,54.79,0.5757,575.7,P6
5,443,44.91,0.5625,562.5,P6
5,443,36.02,0.5487,548.7,P6
5,443,27.77,0.5325,532.5,P6
5,443,20.74,0.5142,514.2,P6
5,443,16.94,0.5046,504.6,P6
5,443,12.69,0.4893,489.3,P6
5,443,11.65,0.4858,485.8,P6
5,520.45,273.5,0.665,665,P3
5,520.45,241.1,0.652,652,P3
5,520.45,209.6,0.639,639,P3
5,520.45,174.7,0.622,622,P3
5,520.45,141.2,0.603,603,P3
5,520.45,112.7,0.584,584,P3
5,520.45,87.1,0.562,562,P3
5,520.45,54.9,0.526,526,P3
5,520.45,43.1,0.507,507,P3
5,520.45,28.5,0.472,472,P3
6,278.15,60,0.715,715,P1
6,278.15,50,0.7092,709.2,P1
6,278.15,40,0.7032,703.2,P1
6,278.15,30,0.6968,696.8,P1
6,278.15,20,0.6896,689.6,P1
6,278.15,10,0.6818,681.8,P1
6,278.15,5,0.6776,677.6,P1
6,278.15,1,0.6739,673.9,P1
6,278.15,0.1,0.6733,673.3,P1
6,291.27,49.98,0.70045,700.45,P5
6,291.27,44.98,0.69732,697.32,P5
6,291.27,39.99,0.69404,694.04,P5
6,291.27,37.49,0.69228,692.28,P5
6,291.27,34.99,0.69053,690.53,P5
6,291.27,32.48,0.68867,688.67,P5
6,291.27,29.99,0.68686,686.86,P5
6,291.27,27.49,0.68511,685.11,P5
6,291.27,24.99,0.68325,683.25,P5
6,291.27,22.49,0.68123,681.23,P5
6,291.27,19.99,0.67919,679.19,P5
6,291.27,17.5,0.67719,677.19,P5
6,291.27,15.01,0.67514,675.14,P5
6,291.27,12.51,0.67294,672.94,P5
6,291.27,10.01,0.67063,670.63,P5
6,291.27,7.52,0.66839,668.39,P5
6,291.27,5.01,0.66594,665.94,P5
6,291.27,3.02,0.66399,663.99,P5
6,291.27,2.01,0.66285,662.85,P5
6,293.15,0.101325,0.6594,659.4,P2
6,296.15,49.98,0.69712,697.12,P5
6,296.15,44.98,0.69388,693.88,P5
6,296.15,39.98,0.6905,690.5,P5
6,296.15,37.48,0.68876,688.76,P5
6,296.15,34.99,0.68697,686.97,P5
6,296.15,32.49,0.68517,685.17,P5
6,296.15,29.99,0.68329,683.29,P5
6,296.15,27.49,0.68156,681.56,P5
6,296.15,24.99,0.67958,679.58,P5
6,296.15,22.49,0.67753,677.53,P5
6,296.15,19.99,0.67538,675.38,P5
6,296.15,17.5,0.67337,673.37,P5
6,296.15,15,0.6711,671.1,P5
6,296.15,12.5,0.66882,668.82,P5
6,296.15,10.01,0.66655,666.55,P5
6,296.15,7.51,0.6641,664.1,P5
6,296.15,5,0.66163,661.63,P5
6,296.15,3.01,0.65959,659.59,P5
6,296.15,2,0.65855,658.55,P5
6,298.15,60,0.7017,701.7,P1
6,298.15,50,0.6955,695.5,P1
6,298.15,40,0.689,689,P1
6,298.15,30,0.6819,681.9,P1
6,298.15,20,0.6739,673.9,P1
6,298.15,10,0.66501,665.01,P25
6,298.15,10,0.6651,665.1,P1
6,298.15,5,0.6601,660.1,P1
6,298.15,1,0.6559,655.9,P1
6,298.15,0.1,0.65516,655.16,P25
6,298.15,0.1,0.6561,656.1,P1
6,301.03,49.98,0.69381,693.81,P5
6,301.03,44.98,0.69055,690.55,P5
6,301.03,39.98,0.68713,687.13,P5
6,301.03,37.48,0.68531,685.31,P5
6,301.03,34.99,0.68353,683.53,P5
6,301.03,32.49,0.68162,681.62,P5
6,301.03,29.99,0.67966,679.66,P5
6,301.03,27.49,0.67776,677.76,P5
6,301.03,24.99,0.67576,675.76,P5
6,301.03,22.49,0.67368,673.68,P5
6,301.03,19.99,0.67156,671.56,P5
6,301.03,17.49,0.66942,669.42,P5
6,301.03,15,0.66716,667.16,P5
6,301.03,12.5,0.66484,664.84,P5
6,301.03,10,0.66252,662.52,P5
6,301.03,7.5,0.65995,659.95,P5
6,301.03,5,0.65737,657.37,P5
6,301.03,3,0.65519,655.19,P5
6,301.03,2,0.65413,654.13,P5
6,310.79,49.98,0.68782,687.82,P5
6,310.79,44.99,0.68437,684.37,P5
6,310.79,39.99,0.68079,680.79,P5
6,310.79,37.49,0.67889,678.89,P5
6,310.79,34.99,0.67698,676.98,P5
6,310.79,32.49,0.67501,675.01,P5
6,310.79,29.99,0.67291,672.91,P5
6,310.79,27.49,0.67097,670.97,P5
6,310.79,24.99,0.66887,668.87,P5
6,310.79,22.49,0.66672,666.72,P5
6,310.79,19.99,0.66449,664.49,P5
6,310.79,17.5,0.66209,662.09,P5
6,310.79,15,0.6598,659.8,P5
6,310.79,12.51,0.65724,657.24,P5
6,310.79,10.01,0.65469,654.69,P5
6,310.79,7.51,0.65192,651.92,P5
6,310.79,5.01,0.64929,649.29,P5
6,310.79,3.01,0.64696,646.96,P5
6,310.79,2.01,0.64576,645.76,P5
6,313,54.99,0.6933,693.3,P6
6,313,44.63,0.6852,685.2,P6
6,313,34.29,0.6768,676.8,P6
6,313,23.95,0.6674,667.4,P6
6,313,23.91,0.6674,667.4,P6
6,313,14.32,0.6577,657.7,P6
6,313,14.31,0.6577,657.7,P6
6,313,5.88,0.6486,648.6,P6
6,313,5.86,0.6486,648.6,P6
6,313,0.21,0.6416,641.6,P6
6,323,63.92,0.6926,692.6,P6
6,323,55,0.686,686,P6
6,323,54.99,0.686,686,P6
6,323,44.66,0.6779,677.9,P6
6,323,44.64,0.6779,677.9,P6
6,323,34.44,0.6688,668.8,P6
6,323,34.39,0.6688,668.8,P6
6,323,24.01,0.6588,658.8,P6
6,323,23.99,0.6588,658.8,P6
6,323,15.13,0.649,649,P6
6,323,6.83,0.6415,641.5,P6
6,323,6.7,0.6415,641.5,P6
6,323.15,60,0.6861,686.1,P1
6,323.15,50,0.6793,679.3,P1
6,323.15,40,0.6719,671.9,P1
6,323.15,30,0.6639,663.9,P1
6,323.15,20,0.6547,654.7,P1
6,323.15,10,0.6442,644.2,P1
6,323.15,5,0.6382,638.2,P1
6,323.15,1,0.6331,633.1,P1
6,323.15,0.1,0.63163,631.63,P25
6,323.15,0.1,0.6317,631.7,P1
6,330.37,50.01,0.67453,674.53,P5
6,330.37,45.01,0.67077,670.77,P5
6,330.37,37.51,0.66476,664.76,P5
6,330.37,35.01,0.66262,662.62,P5
6,330.37,32.5,0.6605,660.5,P5
6,330.37,27.51,0.65551,655.51,P5
6,330.37,25.01,0.65362,653.62,P5
6,330.37,22.51,0.65118,651.18,P5
6,330.37,20.01,0.64864,648.64,P5
6,330.37,17.51,0.64603,646.03,P5
6,330.37,15.01,0.6433,643.3,P5
6,330.37,10.02,0.63762,637.62,P5
6,330.37,7.52,0.63448,634.48,P5
6,330.37,5.01,0.63129,631.29,P5
6,330.37,3.01,0.62866,628.66,P5
6,330.37,2.01,0.62724,627.24,P5
6,330.38,40.01,0.66682,666.82,P5
6,330.38,30.01,0.65826,658.26,P5
6,330.38,12.52,0.64052,640.52,P5
6,348,55.43,0.6671,667.1,P6
6,348,55.34,0.6671,667.1,P6
6,348,44.82,0.6578,657.8,P6
6,348,34.29,0.6476,647.6,P6
6,348,34.21,0.6476,647.6,P6
6,348,24.19,0.6362,636.2,P6
6,348,16.05,0.6258,625.8,P6
6,348,16.02,0.6258,625.8,P6
6,348,7.29,0.6188,618.8,P6
6,348,7.26,0.6188,618.8,P6
6,348.15,60,0.6702,670.2,P1
6,348.15,50,0.6626,662.6,P1
6,348.15,40,0.6544,654.4,P1
6,348.15,30,0.6452,645.2,P1
6,348.15,20,0.6346,634.6,P1
6,348.15,10,0.6221,622.1,P1
6,348.15,5,0.6149,614.9,P1
6,348.15,1,0.6085,608.5,P1
6,348.15,0.1,0.60657,606.57,P25
6,349.95,45.03,0.65791,657.91,P5
6,349.95,35.02,0.64885,648.85,P5
6,349.95,32.52,0.64646,646.46,P5
6,349.95,17.52,0.63018,630.18,P5
6,349.95,15.02,0.62711,627.11,P5
6,349.95,5.02,0.61347,613.47,P5
6,349.95,3.01,0.61021,610.21,P5
6,349.96,50.02,0.66195,661.95,P5
6,349.96,40.02,0.65357,653.57,P5
6,349.96,37.52,0.65125,651.25,P5
6,349.96,30.01,0.64394,643.94,P5
6,349.96,27.52,0.64155,641.55,P5
6,349.96,25.02,0.63872,638.72,P5
6,349.96,22.51,0.63597,635.97,P5
6,349.96,20.01,0.63312,633.12,P5
6,349.96,12.51,0.62394,623.94,P5
6,349.96,10.01,0.6206,620.6,P5
6,349.96,7.52,0.61713,617.13,P5
6,349.96,2.01,0.6085,608.5,P5
6,373,65.85,0.6593,659.3,P6
6,373,55.49,0.651,651,P6
6,373,55.44,0.651,651,P6
6,373,44.84,0.6434,643.4,P6
6,373,34.93,0.6308,630.8,P6
6,373,34.89,0.6306,630.6,P6
6,373,25.51,0.6198,619.8,P6
6,373,25.44,0.6202,620.2,P6
6,373,15.65,0.6053,605.3,P6
6,373,15.52,0.6064,606.4,P6
6,373,7.43,0.5943,594.3,P6
6,373,7.26,0.5936,593.6,P6
6,373.15,60,0.6549,654.9,P1
6,373.15,50,0.6466,646.6,P1
6,373.15,40,0.6374,637.4,P1
6,373.15,30,0.627,627,P1
6,373.15,20,0.6148,614.8,P1
6,373.15,10,0.6,600,P1
6,373.15,5,0.591,591,P1
6,373.15,1,0.5826,582.6,P1
6,398,65.34,0.6475,647.5,P6
6,398,54.96,0.6387,638.7,P6
6,398,44.54,0.6282,628.2,P6
6,398,34.24,0.616,616,P6
6,398,24.73,0.6031,603.1,P6
6,398,15.08,0.588,588,P6
6,398,7.74,0.5742,574.2,P6
6,423,63.25,0.627,627,P6
6,423,55.73,0.6196,619.6,P6
6,423,55.64,0.6199,619.9,P6
6,423,44.65,0.6067,606.7,P6
6,423,44.63,0.6068,606.8,P6
6,423,44.61,0.6071,607.1,P6
6,423,34.21,0.5926,592.6,P6
6,423,24.03,0.5781,578.1,P6
6,423,24.01,0.557,557,P6
6,423,16.93,0.5645,564.5,P6
6,423,10.79,0.5534,553.4,P6
6,423.15,60,0.6248,624.8,P1
6,423.15,50,0.6146,614.6,P1
6,423.15,40,0.6032,603.2,P1
6,423.15,30,0.5897,589.7,P1
6,423.15,20,0.5732,573.2,P1
6,423.15,10,0.5515,551.5,P1
6,423.15,5,0.5369,536.9,P1
6,423.15,1,0.5212,521.2,P1
6,448,52.49,0.5994,599.4,P6
6,448,52.3,0.6002,600.2,P6
6,448,41.16,0.5848,584.8,P6
6,448,41.1,0.5848,584.8,P6
6,448,34.3,0.5736,573.6,P6
6,448,34.26,0.5745,574.5,P6
6,448,27.48,0.5622,562.2,P6
6,448,27.44,0.5627,562.7,P6
6,448,20.58,0.5486,548.6,P6
6,448,13.16,0.5341,534.1,P6
6,463.15,60,0.6007,600.7,P1
6,463.15,50,0.5893,589.3,P1
6,463.15,40,0.5759,575.9,P1
6,463.15,30,0.5598,559.8,P1
6,463.15,20,0.5389,538.9,P1
6,463.15,10,0.5085,508.5,P1
6,463.15,5,0.4842,484.2,P1
